Date,Max Temp,Min Temp,Avg Temp,HVAC Service Demand
1/1/2021,2.5,-1,0.7,6.3
1/2/2021,2.2,-0.9,0.7,8.5
1/3/2021,2.1,0.2,1.1,6.6
1/4/2021,1.7,-0.1,0.8,9.0
1/5/2021,1.6,0.6,1.1,10.4
1/6/2021,2.1,-0.3,0.9,8.8
1/7/2021,0.8,-4.8,-2,9.4
1/8/2021,-1.3,-8.3,-4.8,9.9
1/9/2021,4.1,-2.4,0.8,6.8
1/10/2021,2.1,-2,0.1,6.5
1/11/2021,1.2,-3.1,-1,12.2
1/12/2021,0,-1.1,-0.5,10.5
1/13/2021,3.6,-0.5,1.5,7.7
1/14/2021,5.2,1.7,3.4,8.2
1/15/2021,5.6,2.7,4.2,7.1
1/16/2021,5,-0.3,2.3,5.2
1/17/2021,5.1,-0.6,2.3,4.5
1/18/2021,1.2,-2.3,-0.5,8.9
1/19/2021,2.2,-2.2,0,10.0
1/20/2021,-0.8,-7.1,-4,9.8
1/21/2021,4,-0.8,1.6,11.7
1/22/2021,2.6,-6.4,-1.9,9.2
1/23/2021,-4,-10.6,-7.3,9.4
1/24/2021,-1.8,-6.2,-4,10.2
1/25/2021,2.3,-2.1,0.1,11.4
1/26/2021,0.9,-3.9,-1.5,7.4
1/27/2021,-2.5,-8.3,-5.4,11.2
1/28/2021,-6.7,-12.1,-9.4,12.1
1/29/2021,-6.6,-12.2,-9.4,17.9
1/30/2021,-2,-10.5,-6.3,11.0
1/31/2021,-4.2,-8.8,-6.5,7.8
2/1/2021,-2,-9.6,-5.8,13.9
2/2/2021,0,-7.7,-3.9,12.1
2/3/2021,1,-5.9,-2.5,12.1
2/4/2021,4,-3.9,0.1,8.7
2/5/2021,3.1,-6.6,-1.7,9.4
2/6/2021,-5.1,-8.1,-6.6,7.9
2/7/2021,-5.2,-11.6,-8.4,9.0
2/8/2021,-5.7,-11.7,-8.7,14.9
2/9/2021,-2.4,-8.8,-5.6,13.9
2/10/2021,-4.2,-10.1,-7.2,10.5
2/11/2021,-2.8,-9.8,-6.3,10.6
2/12/2021,-8.1,-13.5,-10.8,12.8
2/13/2021,-8.6,-11.8,-10.2,12.8
2/14/2021,-3,-11.2,-7.1,8.8
2/15/2021,-2.8,-8.4,-5.6,6.0
2/16/2021,-6.4,-12,-9.2,13.5
2/17/2021,-2.5,-12.7,-7.6,11.2
2/18/2021,-2.6,-6.2,-4.4,9.4
2/19/2021,-1.7,-5.6,-3.6,11.0
