Date,HVAC Service Demand
1/1/2021,5.7
1/2/2021,6.7
1/3/2021,4.7
1/4/2021,8.0
1/5/2021,7.5
1/6/2021,6.3
1/7/2021,7.3
1/8/2021,7.4
1/9/2021,7.3
1/10/2021,5.2
1/11/2021,9.0
1/12/2021,9.1
1/13/2021,8.9
1/14/2021,6.3
1/15/2021,5.0
1/16/2021,3.3
1/17/2021,5.8
1/18/2021,7.3
1/19/2021,6.1
1/20/2021,8.5
1/21/2021,7.4
1/22/2021,6.9
1/23/2021,9.3
1/24/2021,5.2
1/25/2021,9.5
1/26/2021,9.0
1/27/2021,9.6
1/28/2021,11.7
1/29/2021,8.1
1/30/2021,6.6
1/31/2021,4.6
2/1/2021,10.3
2/2/2021,6.2
2/3/2021,9.0
2/4/2021,8.6
2/5/2021,9.6
2/6/2021,8.3
2/7/2021,5.9
2/8/2021,13.8
2/9/2021,13.2
2/10/2021,11.0
2/11/2021,6.8
2/12/2021,8.2
2/13/2021,6.1
2/14/2021,7.2
2/15/2021,7.8
2/16/2021,13.7
2/17/2021,10.0
2/18/2021,8.8
2/19/2021,5.8
2/20/2021,5.9
2/21/2021,8.4
2/22/2021,6.7
2/23/2021,7.1
2/24/2021,5.7
2/25/2021,5.5
2/26/2021,7.9
2/27/2021,2.7
2/28/2021,4.6
3/1/2021,10.7
3/2/2021,8.3
3/3/2021,6.9
3/4/2021,5.8
3/5/2021,7.3
3/6/2021,5.4
3/7/2021,6.1
3/8/2021,6.5
3/9/2021,7.0
3/10/2021,4.7
3/11/2021,4.6
3/12/2021,5.6
3/13/2021,3.8
3/14/2021,4.0
3/15/2021,8.6
3/16/2021,7.5
3/17/2021,5.5
3/18/2021,2.8
3/19/2021,7.6
3/20/2021,3.2
3/21/2021,4.1
3/22/2021,5.8
3/23/2021,3.9
3/24/2021,3.9
3/25/2021,3.6
3/26/2021,5.5
3/27/2021,3.6
3/28/2021,3.1
3/29/2021,9.7
3/30/2021,6.0
3/31/2021,3.7
4/1/2021,5.9
4/2/2021,5.5
4/3/2021,3.6
4/4/2021,1.1
4/5/2021,3.9
4/6/2021,5.6
4/7/2021,2.9
4/8/2021,4.5
4/9/2021,3.5
4/10/2021,1.1
4/11/2021,2.7
4/12/2021,4.3
4/13/2021,4.3
4/14/2021,3.7
4/15/2021,7.1
4/16/2021,5.6
4/17/2021,2.5
4/18/2021,3.0
4/19/2021,3.4
4/20/2021,4.0
4/21/2021,6.5
4/22/2021,6.3
4/23/2021,5.1
4/24/2021,1.8
4/25/2021,2.8
4/26/2021,6.1
4/27/2021,5.6
4/28/2021,4.7
4/29/2021,5.1
4/30/2021,3.4
5/1/2021,2.9
5/2/2021,2.8
